index,meeting_id,caption,topic,topics
0,42,"Joining us this afternoon is Alderman Robert Baumann, Vice Chair, Alderman Perez, Alderman Marina Dimitrovic is on the screen, and along with Alderman Russell Stamberg.",1,appointments
1,42,"My apologies for delay, the earlier committee judiciary and legislation ran over, but we'll try to be as quick and efficient as possible with the committee today.",0,appointments
2,42,"Item one on the agenda is file number 220398, an appointment of Irma Yapaz-Klaasen to the Housing Authority by the Mayor, and this is in the 3rd automatic district.",0,appointments
3,42,Is this a reappointment?,0,appointments
4,42,"No, apparently not.",0,appointments
5,42,"Okay, so is Ms. Klaasen present or on the screen?",0,appointments
6,42,She's on the screen.,0,appointments
7,42,"Oh, on the screen, okay.",0,appointments
8,42,So if you'd just like to tell us a little bit about yourself and why you'd like to serve on the Housing Authority.,0,appointments
9,42,"Sure, thank you.",0,appointments
10,42,"I apologize, I am traveling, so I'm trying to find a quiet spot, but good afternoon everyone and Mr. Chair and committee members.",0,appointments
11,42,"I'm Irma Yapaz-Klaasen and I'd like to thank the Mayor, Mayor Johnson for nominating me to serve on the Housing Authority Board of Commissioners and Director Hunt for his time and recommendation.",0,appointments
12,42,"As many of you may know, my work is rooted in Milwaukee's Affordable Housing and Community Economic Development Community, where I have over 25 years of experience working collectively with women alongside the private, public, and non-profit sectors.",0,appointments
13,42,"Throughout my career, I've had the opportunity and privilege to work with the Housing Authority in a variety of capacities to support their economic well-being and overall quality of life of its residents in securing quality, affordable, and stable housing through its many programs and initiatives.",0,appointments
14,42,"I'm honored and thrilled to receive this appointment and to continue to serve, support, and learn from the community in this capacity.",0,appointments
15,42,Thank you.,0,appointments
16,42,"Well, thank you for agreeing to serve.",0,appointments
17,42,We appreciate that.,0,appointments
18,42,"Mr. Chair, I'm just curious, when did the nominee learn of this hearing?",0,appointments
19,42,I could barely hear what she said.,0,appointments
20,42,It was difficult.,0,appointments
21,42,We don't have nothing on screen.,0,appointments
22,42,There's no video.,0,appointments
23,42,When did she know about this hearing?,0,appointments
24,42,"Because it's customary for people to show up in person, especially for new appointments.",0,appointments
25,42,"Ms. Klaasen, can you address that issue?",0,appointments
26,42,"Yes, I did.",0,appointments
27,42,"I got my nomination later this spring, and I was able to accept the nomination just a few weeks ago.",0,appointments
28,42,"And when I learned about the hearing, I had already had plans to travel.",0,appointments
29,42,"So I am currently on a family vacation in New York, and it was committed to making sure that I attended the meeting virtually.",0,appointments
30,42,So I did ask about that in advance.,0,appointments
31,42,Who did you ask?,0,appointments
32,42,The committee chair or the mayor's office?,0,appointments
33,42,"Mr. Chair, if I may, this is Mr. Lee.",0,appointments
34,42,"I did contact the appointee about her appointment, and at that time she said she would be out of town, and I said that the meeting would be held in person and virtually.",0,appointments
35,42,All right.,0,appointments
36,42,"Questions or comments, Ms. Klaasen?",0,appointments
37,42,And this is in the Third Aldermen District.,0,appointments
38,42,"Obviously, there's no aldermen there present at this time.",0,appointments
39,42,Mr. Chair?,0,appointments
40,42,Alderman Perez.,0,appointments
41,42,I'm curious if the candidate can expand a little bit on her work here at the city.,0,appointments
42,42,"Yes, I can.",0,appointments
43,42,Can you hear me?,0,appointments
44,42,"Hello, everybody.",0,appointments
45,42,I was.,0,appointments
46,42,"I had previously served on behalf of Mayor Barrett in the role of Housing Policy Director coordinating our Neighborhood Plan activity and other affordable housing activities during my tenure that was back in May of 2016, and I closed out my term at the city at the end of 2018.",0,appointments
47,42,"And since then, I have been working with the Zilber Family Foundation, and again, I'm committed to investing and supporting non-profit organizations to support efforts around community economic development and affordable housing.",0,appointments
48,42,"And this is alongside the Housing Authority team members, too, in developing the community development along with the Affordable Housing Plan.",0,appointments
49,42,"Okay, thank you.",0,appointments
50,42,"Okay, I'm hearing no other questions, or is there a motion for approval?",0,appointments
51,42,"Yes, move approval, Mr. Chair.",0,appointments
52,42,Great.,0,appointments
53,42,"Alderman Stamper moves for approval and hearing no objections, so ordered.",0,appointments
54,42,"Thank you, Miss Classenenden.",0,appointments
55,42,"On the agenda, file number 220438, reappointment of LaShawnda Vernon to the Brownsville Advisory Committee by Alderman Malaylee Coggs.",0,appointments
56,42,"Thank you, Mr. Chair.",0,appointments
57,42,"This is a reappointment, and LaShawnda has served as the chair of the committee and has done an excellent job in helping to steward the decision-making and activities of the committee, and I would love to see her continue on with the committee, so I will respectfully ask for you all's approval.",0,appointments
58,42,Move confirmation.,0,appointments
59,42,"Alderman Bowman moves for approval, and she has a perfect attendance record.",0,appointments
60,42,"Alderman Bowman moves for approval and hearing no objections, so ordered.",0,appointments
61,42,"Item three on the agenda, file number 220439, reappointment of Theresa Garrison to the Brownsville Advisory Committee by Alderman Malaylee Coggs.",0,appointments
62,42,Miss Garrison is the resident representative.,0,appointments
63,42,"She actually lives and has lived for, I think, over 30 years in the Brownsville area.",0,appointments
64,42,"She's a little older and has some limited access to technology, but she still makes, you know, as much as possible at the meetings, so I really appreciate her participation and her wisdom on the committee, so I would again ask for your approval of her reappointment.",0,appointments
65,42,"Alderman Perez moves for approval and hearing no objections, so ordered.",0,appointments
66,42,"Item four, 220440, reappointment of Rahina, and I apologize for the mispronunciation, Boynes to the Brownsville Advisory Committee by Alderman Coggs.",0,appointments
67,42,Many in the artistic community affectionately call him Ray Nitti.,0,appointments
68,42,"He has been a tremendous asset from the artistic perspective for the committee, and out of his addition, several other programs that we now do at the city in Brownsville have grown out of ideas that he came to the table with, so I definitely see him as an asset to the Brownsville Advisory Committee, and he also is now involved in development projects that have a cultural or creative um bend to them, so I see his addition or his continued service on the committee as essential, so I would again ask for you all's approval as well.",0,appointments
69,42,"Alderman Stanford moves for approval, perfect attendance record also, and hearing no objections, so ordered.",0,appointments
70,42,Thank you.,0,appointments
71,42,"Item five, and the agenda, file number 220296, a substitute ordinance relating to changes zoning from two family residential RT4 to local business LB2 to allow a wider mix of commercial uses for the property located at 128 East Burleigh Street on the north side of East Burleigh Street east of North Achilles Street in the 6th Automatic District.",1,zoning changes
72,42,"Thank you, Mr. Chair.",0,zoning changes
73,42,"Many of you may know Tonda Thompson, familiar face here.",0,zoning changes
74,42,"She is always, she is the founder of the Harambee 5k walk run for healthy birth outcomes that partners with Brownsville Week every year.",0,zoning changes
75,42,"She's worked here at the city before, but many of those in the viewing public may also know her from Rogue Dreams, her photography and videography business, as well as her, she swings wood, her carpentry business, I guess, that you would call it, and through Harambee 5k she does it with her non-profit.",0,zoning changes
76,42,"I am grateful that she has chosen to build a home for those three things that are collective in the Harambee neighborhood and first in Burleigh, a neighborhood that means a lot to her.",0,zoning changes
77,42,She has taken a formerly city-owned building that was vacant for I believe 12 years and has chosen to renovate it for the utilization that she wants to have with it.,0,zoning changes
78,42,The Department of City Development has recommended this zoning change.,0,zoning changes
79,42,I wholeheartedly support it and would hope that you all will as well.,0,zoning changes
80,42,"With that, I'll turn it over to, I don't know who you want to talk first.",0,zoning changes
81,42,So is the plan for this to be a mixed-use residential upstairs office on the first floor or all office?,0,zoning changes
82,42,"I think you want to talk, Sam.",0,zoning changes
83,42,Do you want me to?,0,zoning changes
84,42,This is a handsome building.,0,zoning changes
85,42,I actually like the looks of this building.,0,zoning changes
86,42,It looks to be very original.,0,zoning changes
